#,Kingdom Name,Population,Best power clan name,Best kills clan name,Best power player name,Best kills player name
1,#776 Aeprenia,37184,KYUSYU,KYUSYU,Dark M,Dark M
2,#775 Eavadia,32034,Esquadrao de Elitee,Esquadrao de Elitee,Hiden,come go
3,#773 Ikruborg,27303,bww,bww,Eurybia,hastily
4,#774 Uliston,24191,Total D0mination,Total D0mination,TigriVik,TigriVik
5,#772 Eyminh,23140,ertis,Nu Omega Delta,RamrodUSMC,RamrodUSMC
6,#771 Uteston,20196,771,Equipo Activo,xiao11111,xiao11111
7,#770 Kodora,17848,Kaum Barbarian,Kaum Barbarian,choub,Sutawijaya
8,#769 Uwruinia,17550,AXXO,AXXO,xAngry Birdx,z16
9,#768 Khuwyth,15880,ART OF WAR LTD,ART OF WAR LTD,AOW,AOW
10,#766 Aekhavell,15085,BLACK PEARL PIRATES,BLACK PEARL PIRATES,yuri88,ChaChaSmooth
11,#767 Aiqeantis,14850,biu   biu  biu,67V,520Winnie,v1v1
12,#764 Westa,12822,Metal Heads,Arab knights,Covid 999,Covid 999
13,#765 Gobraryn,12516,We are Family,YHZS,wa   haha,wa   haha
14,#762 Avroudal,11326,Zero Fcks Clan,Zero Fcks Clan,Leng Leng,masa30
15,#763 Cruiweth,11314,283,283,Lumier,Requirement
16,#760 Ophuirus,11023,Peoples Army,Peoples Army,Black Gale,Ganja Wiz
17,#758 Neorus,10226,Monster Hunters Apex,Monster Hunters Apex,Cashless,Aladin0
18,#756 Prumore,10014,Kingdom Brigade,Kingdom Brigade,TitsMcGeexo,Miss FitToy
19,#754 Crothen,9598,ALIANZA MADRID,Dodoles,HarlyMuffin,Baby Rider
20,#748 Ipredora,9594,LeClanDesFr,LeClanDesFr,NinjaAli,A000001
21,#761 Phalyra,9339,CZR,CZR,Xperia,Xperia
22,#752 Xutus,9219,Fk Your Drama,Fk Your Drama,OlecHisingen,1RON
23,#666 Hardhaus,8795,Against All Odds,Rest in Anarchy,Tatatq,OOO SkyCute
24,#759 Veovia,8764,Uchiha,Indian Warrior  01,shangtian,shangtian
25,#750 Mephate,8745,Zodiacs,Zodiacs,Th1970,N0 Shanks
26,#668 Shanlarney,8684,Super Great Memers,Burn Zero Repeat,Da WeiGe,LH Bing tang
27,#746 Bawyth,8555,Secret Society,Secret Society,yuzu009,Pak 0gah
28,#755 Abreavell,8528,Fighters Boku Hero,ZHONGGUORENA,Henyooo,ZG Lin
29,#673 Grausbirn,8477,AnotherMillionKillz,Nothing but killaz,AD4M52,AD4M52
30,#334 Rankheim,8414,Rally Till Capped,Rally Till Capped,Buds Spencer,K 007
